,text
324,"In the joint statement released after their December 4 meeting, NATO Foreign Ministers stated that they ""strongly support the finding … that Russia is in material breach of its obligations under the INF Treaty."" In a statement released on February 1, 2019, the North Atlantic Council noted that Russia had ""taken no demonstrable steps toward returning to full and verifiable compliance"" and that ""Russia will bear sole responsibility for the end of the Treaty."" At the same time, the statement noted that the ""allies are firmly committed to the preservation of effective international arms control, disarmament and non-proliferation"" and ""will continue to uphold, support, and further strengthen arms control, disarmament and non-proliferation, as a key element of Euro-Atlantic security."" Introduction The Russian Violation In July 2014, the State Department released the 2014 edition of its report Adherence to and Compliance with Arms Control, Nonproliferation, and Disarmament Agreements and Commitments .
This report stated that the United States had determined that ""the Russian Federation is in violation of its obligations under the [1987 Intermediate-range Nuclear Forces] INF Treaty not to possess, produce, or flight-test a ground-launched cruise missile (GLCM) with a range capability of 500 km to 5,500 km, or to possess or produce launchers of such missiles."" The report did not offer any details about the offending missile or cite the evidence that the United States used to make this determination, but it did note that the United States ""raised these concerns with the Russian Federation"" several times during 2013 and ""will continue to pursue resolution"" of the issue.
But he noted that ""Russia then tested the same missile at ranges below 500 kilometers from a mobile launcher."" He then noted that ""by putting the two types of tests together"" Russia developed an INF-range missile that could be launched from a ""ground-mobile platform."" The DNI's timeline confirmed press reports that had indicated that the United States identified Russian activities that raised INF compliance concerns as early as 2008 and that the Obama Administration began to mention these concerns to Members of Congress in late 2011.
He indicated that U.S. missile sites on allied territory could become ""the targets of subsequent military exchanges."" The U.S. Reaction Obama Administration officials often stated that the INF Treaty remained in the security interest of the United States and its allies, and that the U.S. goal is to ""to work to bring Russia back in to full compliance."" However, because Russia was unwilling to address U.S. concerns or even acknowledge the existence of the offending cruise missile, the United States reviewed a broad range of economic and military options that might both provide an incentive for Russia to return to compliance with the treaty and provide the United States with the capability to counter Russian actions if it does not return to compliance.
He stated that Russia's violation of the treaty ""increases the risk to our allies and poses a threat to U.S. forces and interests."" He also noted that Russia's violation, if allowed to stand, ""could erode the foundations of all current and future arms control agreements and initiatives."" At the same time, he stated that the violation would not provide Russia with a ""significant military advantage,"" although, if Russia chooses to ""act as an adversary, we must respond appropriately and in league with our allies."" Further, he echoed the Obama Administration's view that ""returning to compliance is in Russia's best interest."" Secretary Mattis reaffirmed this goal in November 2017, after a meeting with NATO defense ministers.
Secretary Mattis offered a more blunt assessment prior to the NATO meeting of defense ministers in October 2018, when he stated that ""the current situation, with Russia in blatant violation of this treaty, is untenable."" He also said that ""Russia must return to compliance with the INF Treaty or the U.S. will need to match its capabilities to protect U.S. and NATO interests."" Press reports indicated that the Trump Administration was moving forward with efforts to begin research and development into a new U.S. ground-launched cruise missile of INF range.
As the State Department noted, the participants agreed that ""the INF Treaty continues to play an important role in the existing system of international security, nuclear disarmament and non-proliferation, and that they will work to preserve and strengthen it."" But, according to some reports, Russia continued to deny that the 9M729 ground-based cruise missile had ever been tested to INF range or that telemetry from the tests supported a conclusion that it violated the INF Treaty.
If the President makes this determination, the bill states that the INF Treaty's ban on intermediate-range missiles will ""no longer be binding on the United States as a matter of United States law."" The Senate bill (§1635) did not use the phrase ""program of record"" in its response to Russia's INF violation, but stated that DOD should establish ""a research and development program for a dual-capable road-mobile ground-launched missile system with a maximum range of 5,500 kilometers."" The Senate also required a report on the feasibility of modifying other missile systems and mandates that the costs and feasibility of these modifications be compared to the costs and feasibility of a new ground-launched cruise missile.
As a result, it stated that it was the sense of Congress that the United States ""is legally entitled to suspend the operation of the INF Treaty."" The House version of the FY2019 NDAA ( H.R. 5515 ) had included this language as a ""statement of policy"" rather than a ""sense of Congress."" The change in language in the final version of the bill indicates that the President, not Congress, would make the determination of a ""material breach."" The legislation also stated that the United States should ""take actions to encourage the Russian Federation to return to compliance"" by providing additional funds for the development of military capabilities needed to counter Russia's new cruise missile and by ""seeking additional missile defense assets … to protect United States and NATO forces"" from Russia's noncompliant ground-launched missile systems.
In late November 2018, several Senators—led by Senators Merkley, Warren, Gillibrand, and Markey—introduced a bill that would prohibit funding for a new INF-range cruise missile or ballistic missile until the Trump Administration submitted a report that, among other things, identified a U.S. ally formally willing to host such a system on its territory; detailed recent diplomatic efforts to bring Russia back into compliance with the treaty; and assessed the risk to U.S. and allied security of if Russia deployed greater numbers of intermediate range missiles.
These bills called on the President to ""carry out a program to research and develop ground-launched cruise missile and ground-launched ballistic missile capabilities, including by modification of existing United States military capabilities, with a range between 500 and 5,500 kilometers."" The legislation also called on the President to study potential sites for the deployment of these new systems and to ""consider selecting sites on United States overseas military bases and sites offered by United States allies."" The FY2015 National Defense Authorization Act ( H.R. 3979 , §1651) also called on the Pentagon to submit a report to Congress that described steps that it plans to take in response to Russia's violation of the INF Treaty."
325,"Opponents contended that the SBLF could lose money, lacked sufficient oversight provisions, did not require lenders to increase their lending to small businesses, could serve as a vehicle for the Troubled Asset Relief Program (TARP) recipients to effectively refinance their TARP loans on more favorable terms with little or no resulting benefit for small businesses, and could encourage a failing lender to make even riskier loans to avoid higher dividend payments.
H.R. 2807 , the Small Business Leg-Up Act of 2011, would have transferred any unobligated and repaid funds from the SBLF when its investment authority expired on September 27, 2011, to the Community Development Financial Institutions Fund ""to continue the program of making capital investments in eligible community development financial institutions in order to increase the availability of credit for small businesses."" H.R. 3147 , the Small Business Lending Extension Act, would have, among other provisions, extended the Department of the Treasury's investment authority from one year following the date of enactment to two years.
The SBLF The SBLF was designed ""to address the ongoing effects of the financial crisis on small businesses by providing temporary authority to the Secretary of the Treasury to make capital investments in eligible institutions in order to increase the availability of credit for small businesses."" The SBLF's legislative history, including differences in the House- and Senate-passed versions of the program, appears in the Appendix .
For example, during any calendar quarter in the initial two years of the capital investments under the program, the bank's dividend rate is lowered if it increases its small business lending, as reported in its FDIC call reports, compared with the average small business lending it made in the four previous quarters immediately preceding the law's enactment, minus some allowable adjustments.
The act directed that all funds received by the Secretary of the Treasury in connection with purchases made by the SBLF, ""including interest payments, dividend payments, and proceeds from the sale of any financial instrument, shall be paid into the general fund of the Treasury for reduction of the public debt."" Arguments For and Against the SBLF The SBLF's advocates argued that it would create jobs by encouraging lenders, especially those experiencing liquidity problems (access to cash and easily tradable assets), to increase their lending to small businesses.
For example, Representative Melissa Bean advocated the bill's passage, arguing that the SBLF  builds on the effective financial stabilization measures Congress has previously taken by establishing a new $30 billion small business loan fund to provide additional capital to community banks that increase lending to small businesses."
326,"U.S. Policy Most U.S. policymakers have generally supported the Council's overall purpose and mandate; however, many have expressed concern regarding its effectiveness in addressing human rights issues—leading to ongoing disagreements as to whether or not the United States should be a member of or provide funding for the Council.
Specifically, some Members of the 115 th Congress introduced legislation addressing a range of issues, including expressing concern with the Council's focus on Israel, seeking to defund or withdraw from the Council, and calling on the Council to take action on specific human rights situations."
327,"To enable international data flows and trade, the United States has aimed to eliminate trade barriers and establish enforceable international rules and best practices that allow policymakers to achieve public policy objectives, including promoting online security and privacy.
Other countries are developing data privacy policies that affect international trade as some governments or groups seek to limit data flows outside of an organization or across national borders for a number of reasons.
WTO Plurilateral Effort In December 2017, a group of more than 70 WTO members, including the United States, agreed to ""initiate exploratory work together toward future WTO negotiations on trade-related aspects of electronic commerce."" Overall U.S. objectives include allowing the free flow of information for international trade and cross-border data flows, ""subject to reasonable safeguards like the protection of consumer data when it is exported,"" but do not specifically address privacy.
G-20 Building on the OECD principles and prior G-20 work, the 2018 G-20 Digital Economy Ministerial Declaration identified principles to ""facilitate an inclusive and whole-of-government approach to the use of information and communication technology (ICT) and assist governments in reshaping their capacities and strategies, while respecting the applicable frameworks of different countries, including with regards to privacy and data protection.""  Japan is to host the 2019 G-20 and plans to focus on data governance, offering a forum to address potential global standards on privacy and cross-border data flows.
In addition, USTR's specific trade negotiating objectives for future agreements with the EU and Japan include establishing rules to protect cross-border data flows."
328,"In addition, an IHE must satisfy the program integrity triad, under which it must be legally authorized to provide a postsecondary education in the state in which it is located; accredited or preaccredited by an agency recognized by the Department of Education (ED) for such purposes, and certified by ED as eligible to participate in Title IV programs.
Section 101 Institution of Higher Education To be considered a Section 101 IHE, public and private nonprofit educational institutions must admit as regular students only individuals with a high school diploma or its equivalent, individuals beyond the age of compulsory school attendance, or individuals who are dually or concurrently enrolled in both the institution and in a secondary school; be legally authorized to provide a postsecondary education within the state in which they are located; offer a bachelor's degree, provide a program of at least two-years that is acceptable for full credit toward a bachelor's degree, award a degree that is accepted for admission to a graduate or professional program, or provide a training program of at least a one-year that prepares students for gainful employment in a recognized occupation; and be accredited or preaccredited by an accrediting agency recognized by ED to grant accreditation or preaccreditation status Section 102 Institutions Section 102 of the HEA defines IHE only for the purposes of Title IV participation.
Postsecondary Vocational Institutions HEA Section 102 defines a postsecondary vocational institution as a public or private nonprofit institution that provides an eligible program of training ""to prepare students for gainful employment in a recognized occupation,"" and has been legally authorized to provide (and has continuously been providing) the same or a substantially similar educational program for at least two consecutive years.
In addition, all types of institutions (including public and private nonprofit institutions) must meet requirements related to the course of study offered at the institution and student enrollment to be considered Title IV eligible under Section 102.
Public and Private Nonprofit Institutions of Higher Education At a public or private nonprofit IHE, the following types of programs are Title IV eligible: (1) programs that lead to an associate's, bachelor's, professional, or graduate degree; (2) transfer programs that are at least two academic years in length and for which the institution does not award a credential but that are acceptable for full credit toward a bachelor's degree; (3) programs that lead to a certificate or other recognized nondegree credential, that prepare students for gainful employment in a recognized occupation, and that are at least one academic year in length; (4) certificate or diploma training programs that are less than one year in length, if the institution also meets the definition of a postsecondary vocational institution; and (5) programs consisting of courses required for elementary or secondary teacher certification in the state in which the student intends to teach."
329,"The tax expenditure data provided by the Joint Committee on Taxation (JCT) are estimates of federal revenue losses associated with specific provisions.
These broader tax incentives are not included in the analysis, since tax expenditure estimates do not indicate how much of the revenue loss associated with these generally available provisions is associated with energy-related activities."
330,"Introduction The U.S.-Mexico bilateral economic relationship is of key interest to the United States because of Mexico's proximity, the extensive cultural and economic ties between the two countries, and the strong economic relationship with Mexico under the North American Free Trade Agreement (NAFTA).
Congress has maintained an active interest on issues related to NAFTA renegotiations and the recently signed U.S.-Mexico-Canada trade agreement (USMCA); U.S.-Mexico trade and investment relations; Mexico's economic reform measures, especially in the energy sector; the Mexican 2018 presidential elections; U.S.-Mexico border management; and other related issues.
This report provides an overview and background information regarding U.S.-Mexico economic relations, trade trends, the Mexican economy, NAFTA, the proposed USMCA, and trade issues between the United States and Mexico.
Through NAFTA, the United States, Mexico, and Canada form one of the world's largest free trade areas, with about one-third of the world's total gross domestic product (GDP).
The OECD outlook for Mexico for 2018 states that there are some encouraging signs for potential economic growth, including improvements in fiscal performance, responsible and reliable monetary policy to curb inflation, growth in manufacturing exports and inflows of foreign direct investment, and positive developments due to government reforms in telecommunications, energy, labor, education, and other structural reforms.
These issues have involved trade in sugar, country of origin labeling, tomato imports from Mexico, dolphin-safe tuna labeling, and NAFTA trucking provisions.
The United States claims its actions are due to national security concerns; however, Mexico contends that U.S. tariffs are meant to protect domestic industries from import competition and are inconsistent with the World Trade Organization (WTO) Safeguard Agreement.
The agreements suspending the investigations alter the nature of trade in sugar between Mexico and the United States by (1) imposing volume limits on U.S. sugar imports from Mexico and (2) setting minimum price levels on Mexican sugar.
It imposed antidumping duties for some time, until NAFTA and WTO dispute resolution panels upheld U.S. claims that the Mexican government colluded with the Mexican sugar and sweetener industries to restrict HFCS imports from the United States.
A significant milestone in implementation of U.S. NAFTA commitments occurred on January 9, 2015, when the Department of Transportation's Federal Motor Carrier Safety Administration (FMCSA) announced that Mexican motor carriers would be allowed to conduct long-haul, cross-border trucking services in the United States."
331,"The term exclusive economic zone ( EEZ ) dispute is used in this report to refer to a dispute principally between China and the United States over whether coastal states have a right under international law to regulate the activities of foreign military forces operating in their EEZs. Background U.S. Interests in SCS and ECS Although maritime territorial disputes in the SCS and ECS involving China and its neighbors may appear at first glance to be disputes between faraway countries over a few rocks and reefs in the ocean that are of seemingly little importance to the United States, the situation in the SCS and ECS can engage U.S. interests for a variety of strategic, political, and economic reasons, including but not necessarily limited to those discussed in the sections below.
Short of a conflict with the United States, Chinese bases in the SCS, and more generally, Chinese domination over or control of its near-seas region could help China to do one or more of the following on a day-to-day basis: control fishing operations and oil and gas exploration activities in the SCS; coerce, intimidate, or put political pressure on other countries bordering on the SCS; announce and enforce an air defense identification zone (ADIZ) over the SCS; announce and enforce a maritime exclusion zone (i.e., a blockade) around Taiwan; facilitate the projection of Chinese military presence and political influence further into the Western Pacific; and help achieve a broader goal of becoming a regional hegemon in its part of Eurasia.
In light of some of the preceding points, Chinese bases in the SCS, and more generally, Chinese domination over or control of its near-seas region could complicate the ability of the United States to intervene militarily in a crisis or conflict between China and Taiwan; fulfill U.S. obligations under U.S defense treaties with Japan and the Philippines and South Korea; operate U.S. forces in the Western Pacific for various purposes, including maintaining regional stability, conducting engagement and partnership-building operations, responding to crises, and executing war plans; and prevent the emergence of China as a regional hegemon in its part of Eurasia.
Significant portions of the world's oceans are claimable as EEZs, including high-priority U.S. Navy operating areas in the Western Pacific, the Persian Gulf, and the Mediterranean Sea. The legal right of U.S. naval forces to operate freely in EEZ waters—an application of the principle of freedom of the seas—is important to their ability to perform many of their missions around the world, because many of those missions are aimed at influencing events ashore, and having to conduct operations from more than 200 miles offshore would reduce the inland reach and responsiveness of ship-based sensors, aircraft, and missiles, and make it more difficult to transport Marines and their equipment from ship to shore.
Dispute Regarding China's Rights within Its EEZ, and Associated U.S.-Chinese Incidents at Sea In addition to maritime territorial disputes in the SCS and ECS, China is involved in a dispute, principally with the United States, over whether China has a right under international law to regulate the activities of foreign military forces operating within China's EEZ.
The position of China and some other countries (i.e., a minority group among the world's nations) is that UNCLOS gives coastal states the right to regulate not only economic activities, but also foreign military activities, in their EEZs. In response to a request from CRS to identify the countries taking this latter position, the U.S. Navy states that countries with restrictions inconsistent with the Law of the Sea Convention [i.e., UNCLOS] that would limit the exercise of high seas freedoms by foreign navies beyond 12 nautical miles from the coast are [the following 27]: Bangladesh, Brazil, Burma, Cambodia, Cape Verde, China, Egypt, Haiti, India, Iran, Kenya, Malaysia, Maldives, Mauritius, North Korea, Pakistan, Portugal, Saudi Arabia, Somalia, Sri Lanka, Sudan, Syria, Thailand, United Arab Emirates, Uruguay, Venezuela, and Vietnam.
Other observers provide different counts of the number of countries that take the position that UNCLOS gives coastal states the right to regulate not only economic activities but also foreign military activities in their EEZs. For example, one set of observers, in an August 2013 briefing, stated that 18 countries seek to regulate foreign military activities in their EEZs, and that 3 of these countries—China, North Korea, and Peru—have directly interfered with foreign military activities in their EEZs. The dispute over whether China has a right under UNCLOS to regulate the activities of foreign military forces operating within its EEZ appears to be at the heart of incidents between Chinese and U.S. ships and aircraft in international waters and airspace, including incidents in March 2001, September 2002, March 2009, and May 2009, in which Chinese ships and aircraft confronted and harassed the U.S. naval ships Bowditch , Impeccable , and Victorious as they were conducting survey and ocean surveillance operations in China's EEZ; an incident on April 1, 2001, in which a Chinese fighter collided with a U.S. Navy EP-3 electronic surveillance aircraft flying in international airspace about 65 miles southeast of China's Hainan Island in the South China Sea, forcing the EP-3 to make an emergency landing on Hainan Island; an incident on December 5, 2013, in which a Chinese navy ship put itself in the path of the U.S. Navy cruiser Cowpens as it was operating 30 or more miles from China's aircraft carrier Liaoning , forcing the Cowpens to change course to avoid a collision; an incident on August 19, 2014, in which a Chinese fighter conducted an aggressive and risky intercept of a U.S. Navy P-8 maritime patrol aircraft that was flying in international airspace about 135 miles east of Hainan Island —DOD characterized the intercept as ""very, very close, very dangerous""; and an incident on May 17, 2016, in which Chinese fighters flew within 50 feet of a Navy EP-3 electronic surveillance aircraft in international airspace in the South China Sea—a maneuver that DOD characterized as ""unsafe.""  Figure 2 shows the locations of the 2001, 2002, and 2009 incidents listed in the first two bullets above.
An August 12, 2015, press report states the following (emphasis added): China respects freedom of navigation in the disputed South China Sea but will not allow any foreign government to invoke that right so its military ships and planes can intrude in Beijing's territory, the Chinese ambassador [to the Philippines] said.
July 2018 Press Report Regarding Chinese Radio Warnings A July 31, 2018, press report stated the following: The Philippines has expressed concern to China over an increasing number of Chinese radio messages warning Philippine aircraft and ships to stay away from newly fortified islands and other territories in the South China Sea claimed by both countries, officials said Monday.
U.S. Position on Maritime Disputes in SCS and ECS Some Key Elements The U.S. position on territorial and EEZ disputes in the Western Pacific (including those involving China) includes the following elements, among others: The United States supports the principle that disputes between countries should be resolved peacefully, without coercion, intimidation, threats, or the use of force, and in a manner consistent with international law.
DOD's record of ""excessive maritime claims that were challenged by DoD operational assertions and activities during the period of October 1, 2016, to September 30, 2017, in order to preserve the rights, freedoms, and uses of the sea and airspace guaranteed to all nations by international law"" includes a listing for multiple challenges that were conducted to challenge Chinese claims relating to ""excessive straight baselines; jurisdiction over airspace above the exclusive economic zone (EEZ); restriction on foreign aircraft flying through an Air Defense Identification Zone (ADIZ) without the intent to enter national airspace; domestic law criminalizing survey activity by foreign entities in the EEZ; prior permission required for innocent passage of foreign military ships through the TTS; and actions/statements that indicate a claim to a TTS [territorial sea] around features not so entitled."" Assessments of China's Strengthening Position in SCS Some observers now assess that China's actions in the SCS have achieved for China a more dominant or more commanding position in the SCS.
China's attempts to restrict the rights, freedoms, and lawful uses of the sea available to naval and air forces is inconsistent with customary international law and as President Reagan said in the 1983 Statement on United States Oceans Policy, ""the United States will not, however, acquiesce in unilateral acts of other states designed to restrict the rights and freedoms of the international community in navigation and overflight."" A May 8, 2018, press report states the following: China's neighbors and rivals fear that the Asian powerhouse is slowly but surely establishing the foundation of an Air Defense Identification Zone (ADIZ) in one of the world's most important and busy waterways….
A June 1, 2018, press report states the following: Through its navy, coast guard, a loose collection of armed fishing vessels, and a network of military bases built on artificial islands, Beijing has gained de facto control of the South China Sea, a panel of Indo-Pacific security experts said Friday.
Potential U.S. Goals General Goals Potential general U.S. goals in responding to China's actions in the SCS and ECS include but are not necessarily limited to the following, which are not mutually exclusive: fulfilling U.S. security commitments in the Western Pacific, including treaty commitments to Japan and the Philippines; maintaining and enhancing the U.S.-led security architecture in the Western Pacific, including U.S. security relationships with treaty allies and partner states; maintaining a regional balance of power that is favorable to the United States and its allies and partners; de fending the principle of peaceful resolution of disputes , under which disputes between countries should be resolved peacefully, without coercion, intimidation, threats, or the use of force, and in a manner consistent with international law, and resisting the emergence of an alternative ""might-makes-right"" approach to international affairs; defending the principle of freedom of the seas , meaning the rights, freedoms, and uses of the sea and airspace guaranteed to all nations in international law, including the interpretation held by the United States and many other countries concerning operational freedoms for military forces in EEZs; and preventing China from becoming a regional hegemon in East Asia, and potentially as part of that, preventing China from controlling or dominating the ECS or SCS.
U.S. Actions During Obama Administration In apparent response to China's actions in the SCS and ECS, the United States during the Obama Administration took a number of actions, including the following: reiterating the U.S. position on maritime territorial claims in the area in various public fora; expressing strong concerns about China's island-building and base-construction activities, and calling for a halt on such activities by China and other countries in the region; taking steps to improve the ability of the Philippines, Vietnam, Malaysia, and Indonesia to maintain maritime domain awareness (MDA) and patrol their EEZs, including the Southeast Asia Maritime Security Initiative (MSI), an initiative (since renamed the Indo-Pacific MSI) announced by the Obama Administration in May 2015 and subsequently legislated by Congress to provide $425 million in maritime security assistance to those four countries over a five-year period; taking steps to strengthen U.S. security cooperation with Japan, the Philippines, Vietnam, and Singapore, including signing an agreement with the Philippines that provides U.S. forces with increased access to Philippine bases, increasing the scale of joint military exercises involving U.S. and Philippine forces, relaxing limits on sales of certain U.S. arms to Vietnam, and operating U.S. Navy P-8 maritime patrol aircraft from Singapore; expressing support for the idea of Japanese patrols in the SCS; and stating that the United States would support a multinational maritime patrol of the SCS by members of ASEAN.
In particular, they have argued that the Obama Administration did not react strongly enough to China's occupation of Scarborough Shoal in 2012; react strongly enough to China's island-building and base-construction activities in the Spratly Islands starting around December 2013; do enough in terms of conducting and offering sufficiently clear and strong legal rationales for U.S. freedom of navigation (FON) operations in the SCS; do enough to publicize, rhetorically support, and enforce the July 2016 tribunal award in the SCS arbitration case involving the Philippines and China; and impose sufficiently strong costs on China's for its actions in the SCS and ECS.
A May 23, 2018, press report states the following: The Pentagon rescinded an invitation to China to participate in an international military exercise in the Pacific Ocean next month, signaling disapproval to Beijing for what U.S. officials say is its refusal to stop militarizing South China Sea islands.
November 13, 2018, Statement Opposing Agreements Limiting Freedom of Navigation A November 13, 2018, press report states the following: National security adviser John Bolton said [on November 13] the U.S. would oppose any agreements between China and other claimants to the South China Sea that limit free passage to international shipping, and that American naval vessels would continue to sail through those waters.
Supporters argued that not conducting such an operation was inconsistent with the underlying premise of the U.S. FON program that navigational rights which are not regularly exercised are at risk of atrophy; that it was inconsistent with the U.S. position of taking no position on competing claims to sovereignty over disputed land features in the SCS (because it tacitly accepts Chinese sovereignty over those features); that it effectively rewarded (rather than imposed costs on) China for its assertive actions in the SCS, potentially encouraging further such actions; and that China intends to militarize its occupied sites in the Spratly Islands, regardless of whether the United States conducts FON operations there.
The U.S. Pacific Command has developed a plan to conduct so-called freedom-of-navigation operations two to three times over the next few months, according to several U.S. officials, reinforcing the U.S. challenge to what it sees as excessive Chinese maritime claims in the disputed South China Sea. Beijing claims sovereignty over all South China Sea islands and their adjacent waters.
Likewise, artificial islands and installations also generate no maritime zones of sovereignty or sovereign rights in international law, although the owner of features may maintain a 500-meter vessel traffic management zone to ensure navigational safety."" Regarding features in the water whose sovereignty has been resolved and which do qualify for a 12-nautical-mile territorial sea, "" Warships and commercial vessels of all nations are entitled to conduct transit in innocent passage in the territorial sea of a rock or island of a coastal state, although aircraft do not enjoy such a right."" These three legal points appear to create at least four options for the rationale to cite as the legal basis for conducting an FON operation within 12 miles of Chinese-occupied sites in the SCS: One option would be to state that since there is a dispute as to the sovereignty of the site or sites in question, that site or those sites are terra nullius , that the United States consequently is not obligated to observe requirements of a theoretical territorial sea, and that U.S. warships thus have a right to transit within 12 nautical miles of the site or sites as an exercise of high seas freedom under article 87 of the Law of the Sea Convention.
This transit cuts through the diplomatic dissembling that obfuscates the legal seascape and is the most tangible expression of the U.S. view that the arbitration ruling is ""final and binding."" Regarding this same FON operation, two other observers stated the following: The Dewey's action evidently challenged China's right to control maritime zones adjacent to the reef—which was declared by the South China Sea arbitration to be nothing more than a low tide elevation on the Philippine continental shelf.
In general, actions proposed by these observers include (but are not limited to) the following: making a statement (analogous to the one that U.S. leaders have made concerning the Senkaku islands and the U.S.-Japan treaty on mutual cooperation and security) that clarifies what the United States would do under the U.S.-Philippines mutual defense treaty in the event of certain Chinese actions at Scarborough Shoal, Second Thomas Shoal, or elsewhere in the SCS; further increasing and/or accelerating actions to strengthen the capacity of allied and partner countries in the region to maintain maritime domain awareness (MDA) and defend their maritime claims by conducting coast guard and/or navy patrols of claimed areas; further increasing U.S. Navy operations in the region, including sending U.S. Navy ships more frequently to waters within 12 nautical miles of Chinese-occupied sites in the SCS, and conducting FON operations in the SCS jointly with navy ships of U.S. allies; further strengthening U.S. security cooperation with allied and partner countries in the region, and with India, to the point of creating a coalition for balancing China's assertiveness; and taking additional actions to impose costs on China for its actions in its near-seas region, such as inviting Taiwan to participate in the 2018 RIMPAC exercise."
332,"Under the new NGCV Program, the following systems are planned for development: The Optionally Manned Fighting Vehicle (OMFV) : the M-2 Bradley IFV replacement.
Development of the NGCV would be managed by the Program Executive Officer (PEO) Ground Combat Systems, under the Assistant Secretary of the Army (ASA), Acquisition, Logistics, and Technology (ALT).
Another potential oversight question for Congress could be what is the role of Army Futures Command (AFC) in integrating requirements between OMFV and RCVs?"
333,"§§206.110–206.120 Phone : Office of Congressional Affairs, 202-646-4500 Website : https://www.fema.gov/media-library/assets/documents/24945 CFDA Program Numbers : 97.048 and 97.050 CRS Contact : Elizabeth Webster, 202-707-9197  Disaster Unemployment Assistance Disaster Unemployment Assistance (DUA) provides benefits to previously employed or self-employed individuals rendered jobless as a direct result of a major disaster and who are not eligible for regular federal or state unemployment compensation (UC).
§5189d Contact: Office of Congressional Affairs, 202-646-4500 Website: https://www.fema.gov/media-library/assets/documents/101292 CFDA Program Number : 97.088 CRS Contact: Elizabeth Webster, 202-707-9197 Tax Relief The Internal Revenue Code (IRC) includes tax relief provisions that apply to individuals and businesses affected by federally declared disasters, and the following are some examples.
§206, subparts G, H, I Contact : Office of Congressional Affairs, 202-646-4500 Website: http://www.fema.gov/public-assistance-local-state-tribal-and-non-profit CFDA Program Number : 97.036 CRS Contact: Natalie Keegan, 202-707-9569 Hazard Mitigation Grant Program The Hazard Mitigation Grant Program (HMGP) provides grants to states for implementing mitigation measures after a disaster and to provide funding for previously identified mitigation measures to lessen future damage and loss of life.
§59.1–§82.21 Contact : Office of Congressional Affairs, 202-646-4500 Website: http://www.fema.gov/national-flood-insurance-program CFDA Program Number : 97.022 CRS Contact : Diane Horn, 202-707-3472 General Assistance Programs In addition to programs described above that provide targeted assistance to individuals, states, territories, local governments, and businesses specifically affected by disasters, other general assistance programs may be useful to communities in disaster situations."
334,"Workers Excluded by Statute Sections 2(3) and 3(b) of the LHWCA exclude the following workers from coverage: Workers covered by a state workers' compensation law, including employees exclusively engaged in clerical, secretarial, security, or data processing work; persons employed by a club, camp, recreational operation, museum, or retail outlet; marina employees not engaged in the construction, replacement, or expansion of the marina; suppliers, transporters, and vendors doing business temporarily at the site of a covered employer; aquaculture workers; and employees who build any recreational vessel under 65 feet in length, or repair any recreational vessel, or dismantle any part of a recreational vessel in connection with the repair of the vessel.
Because persons who work on recreational vessels are not covered by the LHWCA, the legislation would allow employers to purchase workers' compensation for these workers under state laws rather than the LHWCA, which, due to the more generous benefits frequently offered by the LHWCA and the limited number of providers, may be more expensive."
335,"On May 7, 2018, then-Attorney General Jeff Sessions announced that the Department of Justice (DOJ) implemented a ""zero tolerance"" policy toward illegal border crossing, both to discourage illegal migration into the United States and to reduce the burden of processing asylum claims that Administration officials contend are often fraudulent.
Under the zero tolerance policy, DOJ prosecuted 100% of adult aliens apprehended crossing the border illegally, making no exceptions for whether they were asylum seekers or accompanied by minor children.
This report briefly reviews the statutory authority for prosecuting persons who enter the United States illegally between U.S. ports of entry, and the policies and procedures for processing apprehended illegal border entrants and any accompanying children.
On June 20, 2018, following considerable and largely negative public attention to family separations stemming from the zero tolerance policy, President Trump issued an executive order (EO) mandating that DHS maintain custody of alien families ""during the pendency of any criminal improper entry or immigration proceedings involving their member,"" to the extent permitted by law and appropriations.
On June 25, 2018, CBP announced that, because of ICE's lack of family detention bed space, it had temporarily halted the policy of referring adults who cross the border illegally with children to DOJ for criminal prosecution."
